City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Skelleftea,SE,2020-12-26 13:56:53,64.75,20.95,21.2,92,100,3.36
1,Mount Isa,AU,2020-12-26 13:58:41,-20.73,139.5,80.6,74,40,5.82
2,Ushuaia,AR,2020-12-26 13:58:42,-54.8,-68.3,59.0,41,40,17.22
3,Ishinomaki,JP,2020-12-26 13:58:42,38.42,141.3,33.85,89,8,6.64
4,Punta Arenas,CL,2020-12-26 13:58:42,-53.15,-70.92,59.0,54,75,17.22
5,Smithers,CA,2020-12-26 13:58:42,54.78,-127.17,22.51,93,100,1.05
6,Jamestown,US,2020-12-26 13:58:43,42.1,-79.24,15.01,85,90,17.13
7,Margate,GB,2020-12-26 13:56:22,51.38,1.39,48.99,77,100,7.0
8,Port Alfred,ZA,2020-12-26 13:58:44,-33.59,26.89,75.99,82,0,3.0
9,Zhanakorgan,KZ,2020-12-26 13:58:44,43.91,67.25,25.48,96,100,9.82
10,Palakkad,IN,2020-12-26 13:58:44,10.78,76.65,77.0,50,0,3.36
11,Pemangkat,ID,2020-12-26 13:58:44,1.17,108.97,79.03,85,100,9.69
12,Busselton,AU,2020-12-26 13:57:52,-33.65,115.33,57.99,85,7,3.0
13,Syava,RU,2020-12-26 13:58:45,58.01,46.32,19.65,97,100,9.01
14,Bay Roberts,CA,2020-12-26 13:58:45,47.6,-53.26,39.99,86,20,20.8
15,Mungaoli,IN,2020-12-26 13:58:45,24.42,78.1,61.05,32,0,2.93
16,Castro,BR,2020-12-26 13:58:45,-24.79,-50.01,72.7,56,88,6.13
17,Rawson,AR,2020-12-26 13:58:46,-43.3,-65.1,75.72,45,49,4.9
18,San Ignacio,BZ,2020-12-26 13:56:55,17.16,-89.07,63.0,93,75,4.7
19,Faya,SA,2020-12-26 13:58:46,18.39,42.45,68.0,37,0,6.93
20,Salalah,OM,2020-12-26 13:57:48,17.02,54.09,84.2,26,0,20.8
21,New Norfolk,AU,2020-12-26 13:58:47,-42.78,147.06,60.8,77,90,8.05
22,Miri,MY,2020-12-26 13:58:47,4.41,114.01,78.8,94,40,1.12
23,Vila Franca Do Campo,PT,2020-12-26 13:58:47,37.72,-25.43,60.8,67,75,19.46
24,Mataura,NZ,2020-12-26 13:58:48,-46.19,168.86,44.01,81,64,1.74
25,Narsaq,GL,2020-12-26 13:58:48,60.92,-46.05,10.4,51,10,2.24
26,Saldanha,ZA,2020-12-26 13:58:48,-33.01,17.94,77.0,53,26,17.22
27,Sitka,US,2020-12-26 13:58:49,57.05,-135.33,39.2,93,90,10.29
28,Podgornoye,RU,2020-12-26 13:58:49,51.73,39.15,33.8,86,90,6.71
29,Bohicon,BJ,2020-12-26 13:58:49,7.18,2.07,98.6,15,87,5.46
30,Norman Wells,CA,2020-12-26 13:58:49,65.28,-126.83,-7.6,83,5,3.36
31,Vardo,NO,2020-12-26 13:58:49,70.37,31.11,15.8,66,20,19.46
32,Galle,LK,2020-12-26 13:58:50,6.04,80.22,78.94,81,76,5.39
33,Grand Gaube,MU,2020-12-26 13:58:50,-20.01,57.66,80.01,84,81,7.0
34,Lebu,CL,2020-12-26 13:58:50,-37.62,-73.65,62.98,81,21,17.38
35,Orgovany,HU,2020-12-26 13:58:50,46.75,19.47,39.99,69,0,6.93
36,Lompoc,US,2020-12-26 13:54:57,34.64,-120.46,50.0,87,90,5.82
37,Rikitea,PF,2020-12-26 13:58:51,-23.12,-134.97,77.07,80,100,14.81
38,Puerto Ayora,EC,2020-12-26 13:58:51,-0.74,-90.35,73.0,94,100,5.01
39,Takaka,NZ,2020-12-26 13:58:52,-40.85,172.8,50.0,87,100,1.01
40,Hirara,JP,2020-12-26 13:58:52,24.8,125.28,70.63,76,16,21.34
41,Kahului,US,2020-12-26 13:58:12,20.89,-156.47,73.4,69,40,12.75
42,Tuktoyaktuk,CA,2020-12-26 13:58:53,69.45,-133.04,9.7,92,100,8.28
43,Tautira,PF,2020-12-26 13:58:53,-17.73,-149.15,78.8,88,75,6.93
44,Severo-Kurilsk,RU,2020-12-26 13:58:53,50.68,156.12,22.89,91,90,9.64
45,Esperance,AU,2020-12-26 13:58:06,-33.87,121.9,57.2,93,75,17.22
46,Yellowknife,CA,2020-12-26 13:58:54,62.46,-114.35,-11.0,76,75,3.36
47,Dunedin,NZ,2020-12-26 13:58:45,-45.87,170.5,48.99,67,26,4.68
48,Darnah,LY,2020-12-26 13:58:54,32.77,22.64,66.0,55,50,8.08
49,East London,ZA,2020-12-26 13:55:32,-33.02,27.91,77.0,69,40,12.75
50,Atuona,PF,2020-12-26 13:58:55,-9.8,-139.03,77.79,72,74,12.19
51,Dwarka,IN,2020-12-26 13:58:55,22.24,68.97,72.45,57,0,13.53
52,Bud,US,2020-12-26 13:58:55,39.45,-86.18,18.0,72,1,4.7
53,Abu Dhabi,AE,2020-12-26 13:54:07,24.47,54.37,71.6,46,0,11.41
54,Georgetown,MY,2020-12-26 13:58:56,5.41,100.34,77.0,94,40,1.12
